~from,~to,rssi,timestamp
WB3,WB1,-57,1594597
WB4,WB1,-35,1573620
WB4,WB2,-58,1794987
WB2,WB1,-16,1681333
WB1,WB2,-19,1610944
WB5,WB1,-28,1541426
WB5,WB2,-25,1725693
WB3,WB2,-54,1589843
WB3,WB1,-55,1626907
WB4,WB1,-34,1747086
WB2,WB1,-27,1785238
WB1,WB2,-17,1635464
WB5,WB2,-23,1666829
WB5,WB1,-28,1677890
WB3,WB2,-55,1537009
WB3,WB1,-55,1517168
WB4,WB1,-36,1528921
WB4,WB2,-59,1716202
WB2,WB1,-16,1599625
WB5,WB2,-23,1791339
WB5,WB1,-29,1681453
WB3,WB2,-47,1618265
WB4,WB2,-59,1625573
WB2,WB1,-17,1690060
WB1,WB2,-19,1730961
WB5,WB2,-23,1736417
WB5,WB1,-28,1712902
WB3,WB2,-46,1789756
WB4,WB1,-35,1546506
WB4,WB2,-61,1510825
WB1,WB2,-18,1674507
WB5,WB1,-28,1750392
WB5,WB2,-24,1647982
WB3,WB1,-49,1575819
WB4,WB2,-54,1657613
WB1,WB2,-18,1647174
WB5,WB2,-23,1742676
WB5,WB1,-28,1539199
WB3,WB1,-46,1705854
WB3,WB2,-46,1629400
WB4,WB1,-36,1765734
WB4,WB2,-48,1769897
WB2,WB1,-16,1523697
WB1,WB2,-18,1766978
WB5,WB2,-23,1587287
WB5,WB1,-29,1657735
WB3,WB1,-47,1519485
WB4,WB1,-36,1534863
WB4,WB2,-58,1777350
WB2,WB1,-17,1527470
WB1,WB2,-18,1700338
WB5,WB2,-23,1546091
WB5,WB1,-29,1527997
WB3,WB1,-49,1697781
WB4,WB2,-59,1665207
WB2,WB1,-17,1617261
WB1,WB2,-18,1693502
WB5,WB2,-23,1783709
WB5,WB1,-28,1702652
WB4,WB2,-49,1767658
WB2,WB1,-17,1798878
WB1,WB2,-18,1709405
WB5,WB1,-28,1542097
WB5,WB2,-24,1673435
WB3,WB1,-49,1787819
WB3,WB2,-51,1777553
WB4,WB2,-53,1575143
WB4,WB1,-34,1635204
WB2,WB1,-17,1715032
WB1,WB2,-18,1672322
WB5,WB2,-22,1724383
WB5,WB1,-28,1565319
WB4,WB1,-35,1707464
WB2,WB1,-16,1662711
WB1,WB2,-19,1669278
WB5,WB1,-28,1754444
WB5,WB2,-23,1600141
WB4,WB1,-34,1699962
WB2,WB1,-17,1623978
WB5,WB1,-28,1739829
WB3,WB2,-58,1653215
WB3,WB1,-53,1648976
WB4,WB2,-48,1746381
WB2,WB1,-16,1695093
WB3,WB2,-53,1650167
WB3,WB1,-51,1531479
WB4,WB1,-34,1544446
WB2,WB1,-16,1641160
WB1,WB2,-18,1529222
WB5,WB1,-28,1757048
WB5,WB2,-23,1594421
WB3,WB2,-50,1622230
WB3,WB1,-49,1787304
WB4,WB2,-58,1632678
WB4,WB1,-46,1533782
WB1,WB2,-18,1531250
WB5,WB2,-23,1736322
WB5,WB1,-29,1646269
WB3,WB2,-49,1588961
