source,destination,rssi,timestamp
WB2,WB1,-16,432950
WB5,WB2,-23,440623
WB5,WB1,-31,440623
WB3,WB2,-57,537678
WB3,WB1,-52,537678
WB4,WB1,-44,552786
WB4,WB2,-65,552786
WB2,WB1,-17,440960
WB1,WB2,-20,400510
WB5,WB1,-31,448634
WB5,WB2,-23,448634
WB3,WB1,-53,545689
WB4,WB2,-63,560797
WB4,WB1,-34,560797
WB2,WB1,-16,448970
WB1,WB2,-20,408519
WB3,WB2,-56,553698
WB4,WB1,-35,568809
WB2,WB1,-16,456977
WB1,WB2,-18,416530
WB3,WB2,-57,561709
WB4,WB1,-35,576819
WB2,WB1,-17,464987
WB3,WB1,-52,569720
WB3,WB2,-57,569720
WB4,WB1,-42,584831
WB2,WB1,-18,472997
WB5,WB1,-30,480672
WB5,WB2,-23,480672
WB3,WB1,-53,577731
WB4,WB1,-36,592842
WB2,WB1,-18,481007
WB1,WB2,-18,440559
WB5,WB2,-25,488683
WB3,WB1,-52,585743
WB3,WB2,-54,585743
WB4,WB1,-43,600853
WB2,WB1,-16,489016
WB1,WB2,-20,448570
WB5,WB2,-23,496695
WB3,WB2,-57,593754
WB3,WB1,-52,593754
WB4,WB1,-34,608864
WB4,WB2,-48,608864
WB2,WB1,-17,497028
WB1,WB2,-18,456580
WB5,WB1,-30,504707
WB5,WB2,-23,504707
WB3,WB2,-58,601766
WB3,WB1,-52,601766
WB4,WB1,-44,616875
WB4,WB2,-64,616875
WB5,WB1,-31,512719
WB5,WB2,-23,512719
WB3,WB1,-50,609777
WB3,WB2,-54,609777
WB4,WB1,-37,624887
WB2,WB1,-16,513052
WB1,WB2,-19,472603
WB5,WB1,-30,520729
WB5,WB2,-23,520729
WB3,WB1,-52,617789
WB4,WB1,-42,632897
WB2,WB1,-28,521063
WB1,WB2,-20,480615
WB5,WB2,-23,528739
WB5,WB1,-30,528739
WB3,WB2,-56,625800
WB3,WB1,-53,625800
WB4,WB2,-50,640907
WB1,WB2,-18,488626
WB5,WB2,-23,536751
WB5,WB1,-31,536751
WB3,WB1,-51,633812
WB3,WB2,-55,633812
WB4,WB1,-34,648918
WB2,WB1,-28,537084
WB1,WB2,-20,496633
WB3,WB2,-56,641823
WB3,WB1,-52,641823
WB4,WB1,-42,656929
WB2,WB1,-27,545095
WB1,WB2,-20,504643
WB5,WB2,-23,552771
WB5,WB1,-30,552771
WB3,WB2,-54,649834
WB3,WB1,-52,649834
WB4,WB1,-44,664941
WB4,WB2,-60,664941
WB2,WB1,-28,553105
WB1,WB2,-18,512654
WB5,WB1,-31,560782
WB5,WB2,-25,560782
WB3,WB2,-55,657846
WB3,WB1,-49,657846
WB4,WB1,-43,672953
WB2,WB1,-16,561116
WB1,WB2,-18,520664
WB5,WB2,-25,568794
WB5,WB1,-30,568794
WB4,WB1,-34,680964
WB1,WB2,-20,528674
WB5,WB1,-30,576807
WB5,WB2,-23,576807
WB3,WB2,-53,673866
WB3,WB1,-49,673866
WB4,WB1,-43,688976
WB2,WB1,-16,577134
WB5,WB2,-23,584818
WB5,WB1,-30,584818
WB3,WB2,-52,681876
WB3,WB1,-48,681876
WB4,WB2,-57,696986
WB4,WB1,-43,696986
WB2,WB1,-28,585144
WB1,WB2,-19,544698
WB5,WB2,-25,592828
WB4,WB2,-55,704997
WB2,WB1,-18,593154
WB1,WB2,-18,552708
WB5,WB1,-30,600841
WB5,WB2,-25,600841
WB3,WB2,-53,697897
WB3,WB1,-48,697897
WB4,WB2,-54,713009
WB2,WB1,-18,601162
WB1,WB2,-20,560717
WB5,WB2,-23,608853
WB5,WB1,-30,608853
WB3,WB1,-48,705908
WB4,WB2,-55,721020
WB4,WB1,-36,721020
WB5,WB1,-30,616864
WB5,WB2,-24,616864
WB3,WB1,-48,713918
WB3,WB2,-53,713918
WB4,WB1,-43,729032
WB4,WB2,-49,729032
WB2,WB1,-16,617184
WB5,WB1,-30,624876
WB5,WB2,-25,624876
WB3,WB1,-48,721930
WB3,WB2,-52,721930
WB2,WB1,-16,625195
WB5,WB2,-25,632888
WB3,WB2,-52,729942
WB3,WB1,-48,729942
WB4,WB1,-34,745052
WB1,WB2,-18,592757
WB5,WB2,-23,640900
WB5,WB1,-29,640900
WB3,WB1,-48,737954
WB3,WB2,-53,737954
WB4,WB1,-36,753062
WB2,WB1,-17,641216
WB1,WB2,-19,600766
WB5,WB1,-30,648911
WB5,WB2,-23,648911
WB3,WB2,-53,745966
WB3,WB1,-49,745966
WB4,WB2,-58,761073
WB4,WB1,-44,761073
WB2,WB1,-17,649227
WB1,WB2,-20,608776
WB5,WB2,-23,656923
WB5,WB1,-29,656923
WB3,WB1,-49,753978
WB4,WB2,-56,769084
WB2,WB1,-16,657237
